"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_009_102","23_110",1510,203,18,NA,NA,1020,NA,NA,310,94.2,NA,NA,5990,952,1480,NA,832,NA,129,8210,NA,2910,105,3100,808,2600,44.4,NA,6240,281,NA,843,1290,5270,531,291,4510,9620,20100,22900,10700,6290,1290,3300,2830,1140,9520,3760,8690,170000,NA,37.2,8460,134000,506,1680,2720,498,10.9,NA,6560,NA,416,1550,9080,NA,1370,30.9,691,669,657,332,144,NA,1210,27.8,568,NA,1620,NA,882,141,247,1420,NA,NA,NA,NA,2880,302,NA,99.6,NA,721,854,701,331,497,365,NA,513,276,89.7,1550,351,48.3,4.93,1040,202,3.1,23.5,65.9,28.1,NA
"165_009_105","23_067",NA,70.5,5.08,3.71,3.78,548,696,NA,130,78.8,80.4,NA,10400,NA,1760,153,NA,NA,NA,3030,NA,3030,60.2,1820,741,920,17.3,0.77,2490,339,NA,600,1180,4600,613,76.3,1930,3060,13000,17200,6100,4200,301,1240,735,221,6800,3140,5290,94600,NA,6.98,4700,78300,600,561,3300,283,0.31,1.78,2960,27.4,10.4,2110,NA,4770,1140,NA,290,493,215,122,350,NA,428,97,118,21,1480,NA,362,206,151,451,1190,NA,915,NA,935,831,91.1,77.7,34.9,140,614,205,65.6,118,220,329,120,201,314,20.8,1010,243,91,33,661,113,2.07,15.4,12.9,6.97
"165_009_107","23_025",1090,140,20,20.3,2.13,37.9,48.8,79.1,46.3,NA,13.2,3.35,474,NA,NA,353,NA,13.8,NA,7610,NA,3170,55.5,3810,1300,2820,55.3,NA,5880,118,NA,884,1410,2890,617,NA,2520,2640,9100,10400,6640,4400,511,1980,1100,615,6900,3730,5150,92800,NA,NA,4280,70100,693,997,2080,277,14.3,NA,3440,39.9,26.3,1650,NA,4420,878,46.6,NA,936,223,290,430,NA,856,20.2,412,NA,1270,414,330,126,469,742,958,287,NA,NA,NA,2960,1340,764,5.44,208,5840,254,123,424,216,273,199,511,197,1330,231,313,83.3,NA,458,2.79,23,31.4,11.7,14.5
"165_009_113","23_069",1410,219,27.9,NA,NA,564,NA,NA,70.9,NA,22.4,NA,8050,NA,1530,NA,552,NA,NA,3850,NA,3140,25.2,2200,1070,2070,17.2,NA,3200,243,NA,575,1540,9800,798,NA,4480,6390,17600,21000,13300,8940,825,2550,1530,1370,9730,4630,8230,153000,NA,30,6970,127000,1650,2060,3090,555,0.0846,5.02,4340,994,91.5,2700,10000,NA,1810,18.1,598,951,581,277,409,NA,598,100,235,NA,2160,NA,265,216,249,NA,1280,NA,NA,2500,1400,NA,229,96.1,109,258,1510,136,99.4,227,240,102,555,170,28.4,1170,NA,460,24.8,630,153,2.57,15.2,28.8,9.46,19.5
"165_009_135","23_134",2320,295,NA,NA,NA,411,639,NA,8.28,1.07,2.56,22.8,NA,1.27,67.5,NA,1.27,56,NA,3380,NA,231,53.4,1340,NA,1210,50.4,4.28,2440,472,NA,387,1590,15300,696,NA,2100,11700,19700,23100,19500,13300,2030,2000,687,NA,10200,2000,5970,121000,NA,64,3830,102000,2080,1770,2830,133,35.2,NA,5050,1530,2.68,3640,6340,NA,2430,1.64,NA,1380,470,297,489,NA,356,NA,209,NA,2920,8.18,499,131,122,1690,49.8,9.62,491,2020,3310,NA,180,310,138,346,783,227,255,213,604,305,129,288,21.4,654,NA,534,NA,1470,260,3.25,42.9,6.75,13,15.4
"165_009_172","23_242",4180,290,53.3,NA,NA,NA,NA,NA,10.6,NA,218,NA,NA,1.06,251,NA,465,NA,NA,21000,8.74,2000,352,6130,602,2280,138,NA,12500,447,NA,1180,3060,23300,691,NA,7330,16500,33600,34700,24100,17000,1970,2950,1700,NA,10400,4500,8310,159000,NA,199,6290,126000,2480,1810,4200,440,NA,NA,9740,221,193,4570,9980,NA,5090,22.6,633,1350,816,383,1230,290,553,NA,297,NA,2460,99.1,774,373,369,1740,728,462,NA,4040,1520,NA,110,172,129,258,692,113,132,180,478,NA,711,290,44.7,1420,323,42.6,NA,426,115,3.89,24,7.07,6.51,10.1
"165_009_185","23_105",1730,274,46.5,NA,23.8,114,179,NA,36.7,NA,145,NA,NA,NA,86.7,145,NA,44.9,NA,23400,NA,1000,197,6060,NA,2280,309,NA,15500,601,NA,778,3150,26000,591,NA,5590,8050,47300,57100,18700,12900,3100,4910,1540,742,21300,6620,12400,220000,NA,161,9080,179000,2860,1540,6930,590,NA,NA,7620,69.8,NA,6540,12500,NA,3490,54.1,1240,NA,1290,230,1380,1580,202,NA,269,NA,5420,95.2,408,156,897,2850,1470,NA,3920,NA,1640,164,88.1,73.2,470,NA,1260,312,346,191,471,212,669,NA,1700,302,360,34.3,656,121,3.07,22,12.5,12.9,NA,NA
"165_009_186","23_070",974,120,7.6,8.15,NA,636,720,NA,72.8,NA,74.8,NA,8710,NA,1690,NA,199,NA,NA,13300,NA,3490,264,3820,729,1830,73.9,NA,10700,451,NA,590,2000,12500,721,NA,5840,8430,28100,31900,11300,6830,1240,1500,675,29.7,8660,6290,7150,113000,NA,46.1,4300,89700,1710,794,1620,694,NA,NA,3510,NA,183,835,NA,2560,2330,NA,NA,968,648,352,615,NA,345,20.5,113,NA,1440,NA,266,201,257,567,670,491,NA,1500,1080,NA,85.8,119,82.9,203,420,64.7,94.4,115,307,NA,376,258,48.4,1090,NA,394,19.1,822,177,2.69,20.5,11,7.95,9.26
"165_009_189","23_085",1960,226,45.5,74.1,23.2,39.7,NA,NA,9.65,8.23,17.6,557,258,NA,482,138,NA,104,NA,4650,NA,2000,438,2100,843,1440,20.7,NA,3900,298,NA,706,2450,13100,355,253,8060,15300,29700,35200,13200,9130,485,3210,1920,3670,15500,4210,11600,167000,NA,25.2,9080,142000,1250,2790,2970,827,NA,83.6,6000,NA,555,1800,NA,6920,1770,NA,682,1070,708,349,580,NA,814,64.8,225,NA,2320,NA,703,332,503,2030,NA,NA,NA,NA,2840,593,NA,113,117,428,1130,567,608,738,469,NA,1250,358,31.3,1750,541,71.9,NA,596,146,5.08,27,6.88,7.81,NA
"165_009_198","23_009",1410,215,52.1,NA,NA,1130,NA,NA,247,152,NA,NA,14600,NA,6140,NA,NA,NA,1550,24500,NA,6780,700,9120,2090,4300,529,40.9,7410,1890,NA,1750,2920,8660,2310,464,3980,10600,22200,27500,16600,11100,4950,965,1620,228,14500,6650,11500,2e+05,NA,95.1,9170,163000,2630,1160,1980,1010,3.19,NA,5040,NA,543,936,NA,2840,2770,36,1130,287,888,706,554,1170,NA,243,178,NA,1850,NA,234,252,421,1470,1260,NA,NA,NA,1210,87.2,111,24.4,323,670,269,202,360,263,87.7,74.8,246,62.2,1080,NA,575,0.335,1650,235,2.54,16.4,18,12.6,17.9,NA
"165_009_202","23_008",3840,597,NA,NA,NA,NA,NA,NA,12.3,8.02,NA,6780,5650,1480,3210,164,NA,NA,1280,3460,NA,4760,144,3880,1010,1140,36.5,0.195,3400,575,NA,1260,2020,10900,1740,NA,8150,8780,16700,18500,16400,11000,1940,2380,480,1190,11900,2630,5680,128000,NA,16.8,3730,99300,1900,2560,3060,507,28.8,NA,9260,66.6,30.7,4520,10900,NA,5880,38.1,NA,2440,672,380,553,NA,447,14.6,131,NA,3530,242,843,689,711,3260,NA,176,737,8810,4420,NA,280,611,232,456,962,498,NA,70.3,916,266,512,418,69.1,1110,NA,527,28.8,618,148,3.34,14.1,40.5,15.3,12.7
"165_009_212","23_149",666,NA,166,32.9,NA,5.27,1.93,49,15.2,2.22,6.2,13,66.9,13.8,NA,151,NA,25.4,NA,15300,NA,523,137,1370,NA,3890,263,NA,4250,240,NA,451,924,1150,1360,109,4470,1080,12100,14700,1250,802,57.1,967,218,579,3230,1010,2080,41000,18.9,24,1530,37200,276,1090,798,148,2,5.77,1750,22.6,NA,840,NA,1930,1100,9.1,NA,718,130,216,144,129,192,142,164,NA,NA,1330,62.7,174,22,211,617,5.74,374,NA,1740,1700,NA,266,119,179,NA,450,220,146,139,NA,611,98.8,143,12.8,190,124,20.6,16.2,478,76,3.34,14.3,7.51,9.06
"165_009_217",NA,1660,231,NA,NA,NA,NA,NA,40.4,12.5,NA,52.1,7850,6720,1200,3110,426,NA,20,NA,22800,NA,4290,214,6790,948,1670,425,NA,16700,285,NA,946,1610,5470,632,788,5120,5460,10700,11100,11400,7380,998,2160,1470,NA,12800,3070,6380,106000,NA,72,3880,75900,1520,1470,2130,325,2.73,NA,3370,28.6,111,1950,NA,5320,939,9.47,NA,1770,361,474,318,NA,514,18.2,334,NA,2680,0.843,410,220,620,586,4700,NA,NA,2800,3260,NA,298,207,218,556,1710,NA,233,161,746,222,1350,1020,NA,1500,276,293,98.7,182,96.7,4.16,10.9,14.4,10.9,13.6
"165_009_22","23_167",442,47.9,4.12,6.81,5.55,395,324,NA,17.1,25.6,42.3,NA,9610,NA,1700,NA,NA,0.614,NA,4760,NA,2500,195,1870,796,980,27.4,7.08,3200,1230,NA,522,2270,35300,869,233,1960,3630,42100,54100,12800,9170,3230,2160,1040,171,5840,3910,6690,112000,NA,153,5170,98800,2790,695,3330,570,NA,NA,3130,NA,NA,2040,NA,7020,1620,2.97,405,763,957,198,871,78.9,379,81.5,88.1,NA,4310,53.2,138,46,366,NA,747,NA,NA,1420,708,NA,91.2,61.6,90.2,141,633,78.5,121,173,305,NA,22.3,120,15,120,105,134,1.91,317,70.7,5.9,21.8,9.87,5.94,9.61
"165_009_220","23_159",3380,536,NA,NA,NA,1040,NA,NA,799,NA,90.2,4980,3340,761,2160,NA,253,2.19,NA,94000,91.1,1520,1810,21400,NA,7140,548,NA,56200,900,NA,1470,5080,6200,723,3950,8800,8840,16800,11100,10000,6110,656,1530,3260,1030,10600,3690,5880,75800,311,NA,1960,38000,1410,1330,1460,1230,NA,NA,1590,2980,1600,1470,NA,5040,NA,73.7,968,376,799,1700,3830,NA,870,1050,1250,267,1070,NA,2080,1220,NA,NA,5380,NA,NA,2500,486,NA,176,508,NA,NA,1020,782,795,337,226,239,148,180,15.2,506,158,197,8.14,613,112,3.85,10.9,16.5,10.9,7.02
"165_009_25","23_166",1260,190,78.5,NA,26.5,109,60.2,NA,28.2,NA,103,NA,NA,1.81,140,8.87,4.58,41.8,NA,7000,NA,685,294,306,191,1460,111,NA,8450,882,NA,1140,2890,58400,48.1,NA,4850,24500,50700,56700,41600,30800,3160,3010,2120,NA,25400,6570,13600,210000,NA,213,9760,181000,3670,1790,5730,512,NA,103,7470,NA,329,4890,10200,NA,3390,NA,1360,NA,1030,175,613,1080,NA,126,74.4,NA,2950,1080,56.8,249,NA,NA,NA,NA,2180,NA,1070,22.2,152,158,209,661,NA,NA,129,182,199,179,107,111,386,414,428,47.7,904,189,3.25,14,19.4,7.82,13.2,NA
"165_009_52","22_222",1100,182,56,NA,24,46.7,211,NA,33.5,0.265,11.2,81.9,49,3.02,66.8,30.4,36.8,5.77,NA,11900,NA,450,136,2530,NA,1570,175,NA,10800,601,NA,588,2050,8990,884,226,3590,7160,18600,22100,24600,16800,996,3420,1280,NA,19200,4690,9350,187000,NA,76.6,7120,154000,1910,1630,4950,436,71.7,NA,7560,7.65,44.2,4510,13300,NA,2910,40.9,601,1610,490,698,351,1600,NA,146,248,NA,2100,715,278,521,1220,2880,807,1780,NA,2350,1940,144,145,137,260,NA,1300,161,314,295,342,137,256,194,878,208,448,14,NA,731,1.96,2.35,38.5,6.54,6.8,NA
"165_009_58","23_082",1220,145,15.8,1.46,NA,844,NA,NA,184,NA,95.7,NA,12700,NA,2690,NA,44.8,NA,NA,25200,NA,4460,232,4410,988,2840,289,NA,9850,1450,NA,1180,2730,46100,699,263,4950,14900,61500,70800,21400,13900,4780,3010,1370,2580,11800,10400,12700,140000,NA,337,5530,114000,4230,760,2560,772,NA,NA,3430,NA,388,1320,NA,3160,2540,NA,NA,1020,1100,317,806,NA,508,76,123,NA,2100,17.7,375,181,383,758,310,661,NA,1410,1030,NA,81.3,126,66,174,346,66.2,86,92.8,192,NA,353,295,62.9,1220,467,NA,1.04,1030,211,5.11,23.2,8.95,14.8,11.3
"165_009_79","22_217",747,56.7,3.6,5.42,NA,297,NA,71.4,NA,NA,NA,NA,6210,NA,2550,NA,NA,NA,461,6910,NA,2900,400,3520,1400,1250,106,NA,4680,1400,NA,1470,2270,16900,1720,243,3190,4080,23900,28400,17200,12000,1160,1880,2320,NA,7940,5410,8580,148000,NA,22,7650,118000,1270,674,4890,321,NA,NA,4690,NA,152,1830,NA,6530,1570,26.8,369,707,636,423,268,NA,1160,244,254,NA,1970,130,525,149,214,763,1060,NA,NA,NA,2060,NA,813,456,29.8,106,587,NA,208,254,378,237,114,151,48.4,88.2,147,170,16.4,414,93.2,2.88,14.4,9.44,NA,10
"165_009_80","22_206",1280,151,29.5,NA,NA,1180,NA,NA,129,46,NA,NA,11900,872,1920,412,NA,0.311,NA,6110,NA,4990,35.6,2690,1400,1540,35.3,NA,5960,280,NA,583,1630,3970,1040,NA,5070,12900,17800,20400,11800,7750,694,3400,1120,866,17300,4040,8130,169000,NA,3.98,6660,141000,1490,2260,4320,505,6.42,NA,7980,27.1,9.45,3980,8770,NA,3350,18.9,2000,NA,649,369,341,NA,1040,NA,263,NA,2350,NA,403,204,211,1440,377,1180,NA,2350,1780,52.4,102,131,327,NA,643,136,121,195,465,NA,929,215,1650,287,420,95.2,NA,419,0.944,5.44,25.2,4.51,9.37,7
"165_009_85","23_205",NA,NA,NA,9.48,34.2,63.9,215,166,NA,132,NA,NA,NA,NA,NA,88.7,NA,60.6,NA,46400,NA,925,275,8890,NA,4550,764,NA,24100,629,NA,821,2370,14100,992,NA,7180,14700,34400,40700,24500,15700,1960,5080,4160,2040,21500,6310,16100,257000,NA,88.7,12500,207000,1290,1590,7650,945,NA,NA,8050,NA,204,5400,17100,NA,2160,0.363,1240,201,783,NA,679,1460,235,564,NA,2600,NA,823,201,637,NA,3110,NA,NA,4720,1620,124,22.9,109,NA,740,1040,NA,396,265,531,181,304,32.8,15.4,694,301,2.61,659,153,NA,10.9,89.8,43.1,13.2,NA,NA
"165_009_96","23_078",988,96,14.3,NA,NA,775,NA,NA,79.6,49,NA,NA,5350,561,1160,243,NA,7.74,NA,4430,NA,2530,49.7,1290,1060,1040,20.5,NA,4640,199,NA,575,1840,9340,396,361,3590,6550,23500,24600,14000,9600,246,2870,2280,945,13900,5360,9070,163000,NA,8.05,7190,120000,861,1540,3940,511,9.09,NA,4490,15.5,36.2,2190,NA,6170,1440,49.9,NA,1340,379,433,110,NA,1320,208,451,18.6,1850,NA,571,368,576,NA,NA,NA,NA,2250,1750,NA,185,223,141,254,703,113,108,230,417,141,510,251,39.2,1010,NA,379,0.279,566,165,1.41,15.2,6.44,7.38,NA
"165_009_98","23_066",1210,NA,17.8,NA,NA,NA,NA,NA,6.46,NA,NA,NA,NA,NA,60.6,NA,1050,NA,NA,9230,NA,377,69.3,2590,NA,1200,95.3,NA,7810,161,NA,349,1480,2610,527,306,4790,8090,15700,18400,7040,4360,513,4280,1470,3420,20000,5430,10500,205000,NA,115,8290,162000,1280,2710,5800,458,15.9,NA,10300,83.7,NA,3790,10500,NA,4170,43.7,2260,35,374,394,291,1020,51.3,359,31.9,NA,2230,43.3,507,442,361,2290,650,NA,5220,NA,3000,387,133,172,376,845,483,206,313,516,191,397,700,NA,1360,NA,271,66,247,81,3.54,14,43.8,9.46,NA,NA
"165_009_99","23_199",NA,NA,99.4,5.47,7.91,905,814,NA,32.6,465,NA,NA,8300,NA,2040,NA,NA,16,221,5010,NA,2320,89.6,1420,797,602,57.2,NA,4170,117,NA,766,1190,3110,234,230,2270,3340,6910,7750,6920,4720,294,1210,762,NA,6400,3400,2980,57000,NA,5.53,2510,45000,299,912,1270,202,NA,21.1,2510,NA,225,1110,NA,2260,596,84.7,NA,557,211,111,96.8,NA,573,20.3,183,4.52,NA,750,204,36.9,229,NA,NA,472,NA,NA,1610,827,NA,64.7,52.1,89.4,215,340,59.6,216,189,NA,244,NA,212,NA,808,199,102,76.8,333,74.3,3.17,17.3,12.5,NA
"165_009B_106","23_071",1120,NA,149,28.1,3.04,17.1,234,NA,15.2,3.33,2.1,4.78,295,13.4,129,NA,32.2,53.2,NA,3650,NA,237,11.5,828,NA,853,121,1.24,2770,605,NA,382,1430,5320,717,NA,2290,4890,14800,19200,11000,7640,334,2750,579,NA,12800,4260,4980,116000,4.55,38,3660,115000,1030,2540,3640,82.4,8.73,NA,6670,5.66,95,4340,NA,5290,4810,131,NA,959,357,164,221,154,479,106,136,12.9,NA,2460,1200,153,133,163,536,394,557,131,1640,2050,NA,560,88.4,241,314,719,110,209,59.2,NA,662,58.5,190,13.9,387,740,NA,16.6,888,139,7.81,14.2,14.6,16.6
"165_009B_107","23_125",NA,6.54,89.7,16.9,NA,359,405,NA,NA,40.2,61.1,NA,5890,NA,988,NA,102,14.8,NA,12400,NA,1900,42.8,2770,279,1310,20.3,NA,7760,78,NA,483,901,3360,395,242,3050,3740,7160,8260,4230,3040,732,773,253,303,4060,1930,2340,55900,NA,35.1,1810,49200,650,712,1290,146,2.6,28.7,2390,39.9,3.24,1640,NA,2490,1470,10.7,NA,708,431,46.2,283,NA,609,37.8,164,NA,635,NA,467,140,NA,869,253,155,111,266,422,303,50.4,52.3,31.3,86,NA,171,39.4,61.8,54.1,140,8.79,16.7,194,20.2,841,387,44,13.5,874,162,4.13,28.8,8.39,5.25
"165_009B_115","23_113",1150,184,65,NA,NA,831,NA,96.9,342,NA,43.2,NA,18700,NA,6300,NA,NA,NA,NA,68500,NA,6620,910,20800,NA,12500,1290,NA,25700,835,NA,1560,2800,3370,5300,101,7460,4760,10600,13100,11100,7080,526,2330,944,1180,14000,3390,6820,136000,NA,NA,5350,113000,1020,1440,2630,352,433,NA,6730,244,41.6,2610,NA,6850,2910,15.7,448,634,494,386,983,NA,1080,135,557,NA,2300,NA,581,282,1460,2210,2030,2940,NA,4830,2330,NA,809,289,199,224,1920,257,262,515,423,255,146,91.5,214,492,161,202,31.5,471,93.7,4.02,20.8,35.4,4.63,26.1
"165_009B_121","23_130",1850,250,NA,NA,NA,NA,NA,43.3,NA,84.9,NA,10200,9020,1960,3230,NA,995,NA,NA,11600,0.521,5270,163,2970,1160,1540,33.1,NA,15200,321,NA,840,2520,16100,498,NA,7320,14200,23400,24400,22700,15900,955,2670,1400,6.11,15500,3930,8110,160000,NA,81.3,6040,127000,1830,1360,4490,256,10.4,39.6,6440,32.9,112,5200,11100,NA,3200,NA,716,1750,642,378,242,NA,722,94.7,236,NA,2390,NA,728,396,404,1900,NA,1290,NA,4430,2230,NA,72.3,222,152,369,748,134,129,240,632,NA,1120,357,62.3,1790,NA,500,NA,452,196,5.93,49.1,16.4,18.7,NA
"165_009B_122","23_097",1.04,NA,116,15.5,NA,575,894,NA,35.5,NA,54.9,NA,9000,NA,1750,NA,206,120,NA,3180,NA,2050,30.8,1320,568,357,24.8,NA,4110,198,NA,571,1160,4310,184,66.7,2680,4850,7860,7590,8100,5530,466,960,555,NA,6740,2650,3220,61500,NA,32.7,1990,43700,574,665,2020,120,3.14,21.4,3030,30.9,18,2470,NA,3910,1100,22,NA,908,159,147,96.3,NA,342,NA,153,6.84,1390,86.2,437,103,138,124,877,57.9,279,NA,1860,1540,249,171,118,166,4900,NA,32.8,138,72.8,466,206,157,291,30.6,438,200,90.1,1.58,473,4.56,4,19.1,NA,11.4
"165_009B_124","23_049",NA,NA,504,79.4,NA,27.3,551,NA,NA,0.39,NA,2300,NA,708,1170,NA,NA,457,338,4950,NA,1640,49.8,2610,NA,2240,34.7,2.79,2050,549,NA,774,1140,4000,2460,227,6220,2960,9050,10900,7410,5040,860,1650,312,716,5310,1150,3800,69400,NA,8.7,1960,54400,863,1810,1410,316,11.4,NA,2880,1000,23.8,1690,NA,3470,1830,0.508,NA,1330,220,332,206,NA,237,64.3,230,9.45,2420,NA,31,633,486,383,2650,68.3,544,NA,13200,3450,66.4,535,921,437,1000,1060,666,37.1,86.7,1290,NA,166,431,54.1,786,722,NA,22.1,1100,NA,3.89,13.3,51.3,18.1
"165_009B_127","22_233",NA,203,NA,22.7,0.62,1020,1070,NA,NA,269,129,NA,16000,NA,6300,NA,NA,NA,3160,4950,NA,3580,909,4000,NA,783,46.9,NA,6010,1300,NA,1170,1430,2820,2090,485,3190,2260,10500,12100,5340,3640,422,1990,282,531,7920,2060,3470,76400,NA,25.5,2520,63000,829,1100,2190,292,38.5,NA,2560,6.94,51.7,2210,NA,3750,797,34.3,NA,754,149,405,298,NA,572,117,96.8,162,1870,NA,938,254,1060,871,1600,1250,NA,NA,2770,2810,612,299,88,258,1340,454,212,239,351,605,319,245,377,28.6,445,298,20.1,NA,743,NA,1.68,24.6,26.9,10.9
"165_009B_143","23_139",920,112,9.94,14.3,1.01,583,NA,57.8,242,90.5,NA,NA,13400,NA,5680,NA,NA,NA,1320,37100,NA,4000,736,13600,NA,3810,1060,NA,17000,1130,NA,1620,1410,2330,3000,262,5650,6580,11300,13500,6370,3900,649,2200,1050,2870,10700,4260,6440,130000,NA,39.9,5400,105000,460,1020,3110,258,113,NA,6510,72,86.1,2520,NA,7450,2790,39.7,504,938,362,302,753,NA,881,49.3,466,5.89,1270,9.6,340,229,612,2000,1550,2170,NA,2250,1360,NA,224,200,241,470,844,NA,252,517,301,NA,47.2,91.9,255,340,151,211,20,635,117,3.54,26,55.6,7.32,15.8
"165_009B_150","23_038",NA,0.221,126,22.7,10,24.1,16.3,10.3,197,87,208,NA,448,23.9,115,250,NA,179,NA,22600,NA,1140,1020,4180,269,3910,355,69.1,16600,256,NA,1070,1270,8510,658,2110,8200,7380,15100,18500,10800,7400,594,1380,1150,4230,7170,3140,5730,78200,NA,104,4220,67400,1500,744,2570,588,NA,NA,1750,NA,485,1430,NA,6250,384,21.4,490,478,322,140,321,232,568,147,133,7.32,1140,NA,396,143,NA,NA,NA,NA,NA,NA,2760,606,81.2,47.8,140,321,715,486,249,313,282,293,134,217,549,15.5,1350,246,48.8,NA,659,NA,6.12,19.3,17.9,8.25
"165_009B_151","23_086",1400,233,17.1,49.8,14.6,53.4,138,72.7,26.2,NA,187,64,973,NA,69.3,255,861,NA,NA,16400,NA,3390,146,4060,677,1780,107,NA,12100,409,NA,497,1870,5660,686,NA,5090,6420,13000,16000,12100,8470,667,2260,832,600,9690,1860,6440,124000,NA,33.5,4660,103000,1130,1310,2740,401,48.2,NA,3370,45.5,36.4,2160,NA,8980,1380,NA,533,1080,478,329,876,NA,604,141,310,NA,2200,NA,497,119,NA,1170,1700,1510,NA,2740,1590,NA,224,98.4,185,326,861,NA,141,311,NA,415,124,330,207,930,185,324,23.7,1.32,550,4.06,20.8,27.4,4.73,4.95
"165_009B_154","23_089",NA,90.8,NA,6.89,4.32,925,948,NA,284,329,NA,NA,8300,NA,2250,NA,NA,NA,NA,15100,NA,2390,187,2060,916,1260,186,NA,6090,327,NA,825,1220,7810,408,87.9,1900,2780,9110,10400,10400,7370,729,1010,806,NA,6510,3310,4620,74400,NA,22.1,3410,57500,626,560,1090,126,35.4,NA,2130,NA,195,1480,NA,2690,509,11.2,NA,268,344,179,178,NA,496,66.9,352,NA,995,NA,299,35.1,57.8,55.7,478,276,NA,NA,NA,913,260,149,40.5,101,813,136,133,398,201,361,NA,170,222,NA,1090,210,119,38.5,694,2.09,2.08,20.9,11.5,7.25
"165_009B_168","23_109",1.38,NA,166,33.7,NA,754,1140,NA,47.8,12.8,54.8,NA,6000,NA,2010,NA,185,NA,1760,2980,NA,2780,50.1,1520,748,769,24.4,NA,6950,146,NA,864,1360,1970,490,128,7300,9940,7640,8160,5540,3500,809,2050,476,3590,14200,2880,3710,80200,NA,9.35,2760,64300,546,1020,2630,229,1.88,36.4,4500,13.3,17.7,2270,NA,6270,2330,43.3,NA,1330,120,283,56.8,NA,492,47.6,237,50.1,1980,367,618,254,264,337,1900,NA,580,NA,2890,3230,NA,480,342,252,994,353,100,58.8,53,787,NA,136,338,41.4,416,444,58.3,NA,648,4.34,3.91,27.5,4.71,9.14
"165_009B_179","23_098",2590,401,NA,NA,NA,NA,74.6,NA,20.7,NA,230,NA,NA,NA,NA,801,NA,41.7,NA,37800,NA,1830,965,11300,1500,3370,665,NA,30200,338,NA,1110,3630,12400,1170,NA,12400,17100,19500,18600,15300,10700,1200,2530,1930,NA,14900,6520,6490,107000,NA,42.4,4680,85700,1660,1240,3050,573,31.6,NA,3790,183,494,3330,NA,6400,947,67,575,1120,557,487,365,207,387,50,312,NA,2330,NA,1150,434,2230,3730,NA,NA,NA,3260,2510,NA,70.1,201,140,524,990,437,398,471,683,250,774,363,46.1,1410,NA,319,44.5,483,116,4.45,19.7,13.5,11.5,6.11
"165_009B_182","23_077",NA,13.2,57.3,3.69,9.35,454,582,NA,NA,105,64.9,NA,6100,0.349,914,1330,99.5,5.82,NA,5480,0.603,1780,131,1580,497,454,27.5,NA,4240,180,NA,468,1050,2330,236,242,2390,3010,6120,7860,4500,3070,221,1230,411,465,7360,1770,3030,58400,NA,12.1,2650,48100,436,754,1110,274,3.43,15.7,1520,NA,37.7,864,NA,3010,NA,479,NA,510,187,140,137,NA,254,23.9,78.4,74,NA,1120,66,317,109,180,108,519,NA,NA,1070,NA,831,88.5,76.3,86.6,121,463,NA,68,163,220,234,NA,356,140,NA,748,160,74.9,30,394,97.2,5.11,25.9,18.5
"165_009B_184","23_083",77.7,16.9,10.4,NA,47.4,85.3,NA,16.8,24.7,11.4,NA,24.6,NA,21.8,NA,1780,NA,NA,10300,NA,431,189,86.8,3220,NA,1360,131,0.21,8190,267,NA,342,2230,8000,887,575,4920,6410,34600,43200,15500,10400,232,7380,2410,3260,19000,9490,15600,303000,NA,155,13100,252000,2300,4630,4970,751,151,NA,13100,4.72,NA,1810,1470,1180,7180,NA,1820,839,298,551,2650,NA,130,109,84.5,2440,103,208,64,110,486,260,492,NA,1420,NA,233,204,116,199,524,253,296,231,355,160,272,NA,1250,261,470,NA,0.643,1900,2.43,16.3,31,9.84,12.4,NA,NA,NA
"165_009B_193","23_081",NA,NA,30.1,6.79,5.41,132,30,10.2,18.6,7.02,NA,234,NA,NA,NA,7.77,NA,27.4,NA,25100,NA,313,NA,3130,NA,1950,463,NA,6860,1160,NA,547,2580,25800,842,204,2160,9230,24100,30000,36900,24300,4730,3040,1190,1970,17400,11900,13500,210000,127,78.3,7040,179000,4020,1640,3010,439,30.3,NA,7000,NA,224,1370,3490,NA,5200,47.7,1570,NA,973,445,602,681,437,247,3.96,2180,NA,NA,747,79.2,95.5,573,164,431,946,NA,1690,113,190,96.4,261,423,265,115,89.6,344,44.9,226,260,NA,1360,551,NA,NA,1850,NA,12.7,50.9,6.32,7.64,NA,NA
