"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_26B_86","22_119",880,93.9,2.26,24.1,1.37,321,302,NA,55.5,NA,55.6,0.397,6710,0.263,2500,NA,76.7,11.3,664,14500,NA,3050,347,3410,705,2210,278,4.5,5160,1370,NA,913,1800,11400,1420,168,2450,5700,10600,13200,19200,13500,2030,852,595,1400,10200,3820,6300,113000,NA,54,4060,99200,2360,712,1550,175,12,NA,3870,10.8,198,707,NA,1350,2750,69,NA,1050,395,274,267,85.1,443,81.2,141,NA,1580,124,229,77.2,78.1,270,400,329,599,1680,NA,1310,135,208,22.5,203,539,299,141,160,147,222,50,83.8,262,302,86.7,324,NA,NA,655,4.05,18.7,9.43,8.67,8.87
"165_26B_99","22_055",2800,576,NA,88.1,NA,NA,NA,NA,18.3,NA,280,NA,NA,NA,NA,NA,NA,71.8,NA,32200,NA,4580,745,7650,1240,2560,218,NA,28200,268,NA,1230,2230,8460,915,520,14700,31600,11800,12100,17400,11500,2430,1750,629,3870,21400,NA,6530,108000,NA,109,4290,88400,903,1220,1230,765,2.99,NA,3270,1750,651,1950,NA,3340,1580,138,150,921,301,203,134,372,500,127,246,27.2,1820,NA,460,840,897,NA,3120,1420,NA,3950,2300,NA,133,217,121,372,592,NA,NA,181,467,132,498,166,26,711,NA,256,33,273,60.3,3.24,9,15.4,7.11,14.4
"165_26C_112",NA,753,83.1,6.09,15.1,1.6,177,NA,NA,NA,NA,NA,NA,5940,NA,1500,60,NA,NA,509,16600,NA,3380,200,4300,864,2530,469,NA,4810,1390,NA,939,1770,7920,1260,92.2,2290,5320,12500,14600,19000,13600,3630,629,888,NA,13500,2450,7560,140000,196,52.5,5200,117000,2360,1130,2100,277,19.2,NA,5230,0.0559,206,1440,NA,4650,3020,48.7,NA,1730,610,519,494,NA,536,NA,330,NA,2070,151,586,111,134,698,206,232,540,1890,1940,NA,156,206,157,259,528,147,152,174,344,130,146,317,18.3,978,NA,501,28.3,1600,287,7.43,26.9,42.6,16.2,18.5
"165_26C_114","22_179",NA,111,NA,10.3,NA,839,947,NA,155,NA,78.5,NA,16000,NA,3060,NA,165,NA,NA,21800,NA,4360,133,4990,1230,2600,601,NA,11700,367,NA,1480,1740,2720,1180,481,5790,6820,11100,13700,6110,2520,335,2060,574,1110,10100,5870,5230,84100,NA,124,3390,65800,850,760,1170,558,NA,NA,2140,21.1,72.4,896,NA,2580,1100,60.4,NA,735,461,283,239,90,540,148,219,NA,1020,NA,179,42.3,193,NA,941,699,NA,882,1250,845,NA,129,110,176,351,254,98.4,178,118,220,NA,66.2,402,20.6,888,300,35.6,1.53,407,NA,3.66,20.4,23.5,6.12
"165_26C_120","23_240",1160,166,6.38,6.77,NA,701,NA,NA,284,84.4,NA,6770,4550,1790,2400,NA,156,NA,NA,18700,NA,4470,42.1,6860,1240,2250,529,NA,13200,489,NA,1170,1560,3740,741,265,5540,5610,23300,27600,8740,4330,636,4110,1170,2180,11600,10300,8810,161000,NA,66.9,6210,133000,1120,1570,2270,788,NA,NA,4070,11.8,126,1320,NA,2310,1930,19.3,NA,1340,386,397,287,1250,NA,165,184,NA,1840,3.34,428,216,359,NA,839,NA,2420,1240,2390,65.7,117,126,416,NA,631,257,116,234,473,NA,721,NA,1930,310,346,106,NA,531,4.5,3.29,16.8,3.22,7.96,6.62
"165_26C_131",NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,7260,NA,1310,3760,444,NA,NA,NA,12700,NA,5640,2930,4590,1560,2810,840,374,6250,1180,NA,2050,3160,29000,1120,403,5830,11000,42100,38300,30100,21100,NA,2000,3430,536,13000,4360,16800,263000,NA,297,10700,174000,1390,841,3690,1450,NA,NA,7200,1430,845,3890,15600,NA,1970,NA,2090,847,1140,95.7,467,1020,NA,463,95.8,1500,45.4,854,58.4,1330,NA,2700,NA,NA,3430,1590,103,83.9,43.8,NA,378,718,459,NA,NA,297,212,105,94.6,555,239,283,8.28,606,121,3.95,9.93,11.6,10.4,NA,NA,NA
"165_26C_132",NA,1420,315,NA,NA,41.9,229,NA,NA,49.1,NA,59.1,NA,NA,NA,66.9,115,NA,266,771,19000,NA,500,282,6650,NA,3270,446,24.4,7420,1030,NA,862,2100,16500,1350,270,3140,13600,19100,28000,27300,19000,6240,1140,1950,8430,17300,6470,13700,185000,NA,117,8790,151000,2630,938,1750,1120,58.8,NA,3970,111,446,913,NA,2420,1210,63.9,NA,1040,832,1160,564,NA,853,119,529,NA,2380,229,367,190,141,1030,NA,NA,NA,3020,2070,NA,177,185,64,215,677,241,280,247,282,NA,341,215,22.4,569,311,55.7,0.767,758,159,5.01,26.2,26.1,10.7,16.2
"165_26C_160",NA,779,97.9,4.46,13.4,4.11,5.96,23.4,24.3,13.4,NA,31.1,28.4,15.8,18.9,40.1,NA,57.3,127,193,6850,NA,211,183,1360,34.8,1140,73.6,15.3,3790,118,0.706,428,1290,5040,276,215,3040,9500,15000,19200,9270,4480,579,1920,1450,546,5100,9030,7310,118000,NA,25.3,6750,102000,718,757,1180,581,NA,1.33,2390,29.8,96.7,452,NA,3000,683,23.6,NA,687,337,176,290,NA,694,83.6,135,34.6,867,NA,204,22.2,251,NA,1230,NA,NA,NA,561,NA,59.6,24.5,134,242,436,141,NA,402,NA,260,174,294,160,1480,243,298,21.6,831,131,5.79,19.3,13.5,16.6,13.7
"165_26D_123",NA,NA,NA,27.8,NA,NA,1420,54.2,NA,160,NA,NA,29400,NA,NA,7520,NA,NA,NA,3070,23300,409,9040,1200,8810,3280,2800,626,0.727,8580,2350,NA,1980,4610,11700,5070,2170,8660,11100,61400,75800,15700,10100,711,5320,2970,2810,23000,4730,17300,328000,NA,664,14700,268000,3000,2510,8200,1070,19.1,NA,12400,NA,1140,8480,26400,NA,9620,3.97,2340,1510,556,996,323,1570,426,297,148,3140,NA,1410,109,341,NA,755,686,710,1280,765,273,330,28.5,254,511,NA,210,178,103,474,216,163,51.8,276,60.1,1440,9.12,377,61.1,5.64,20.7,6.86,11.9,NA,NA,NA
"165_26D_126",NA,NA,NA,37.8,4.12,NA,1620,NA,NA,662,NA,3.03,NA,20800,NA,8540,NA,NA,27.1,2130,29900,25.1,6850,1170,9490,1970,5040,960,36.4,10900,1540,NA,2240,2990,22100,2590,415,3440,13100,33100,39700,27200,18200,2900,3890,2940,2120,15600,6490,16100,249000,NA,307,11600,198000,3350,2080,5350,740,NA,NA,7710,NA,272,6230,15200,NA,3320,71,1020,292,1310,842,569,901,NA,319,219,NA,2610,NA,419,301,NA,NA,NA,NA,NA,NA,1160,150,112,19.4,334,579,435,166,341,206,260,151,193,42.4,455,NA,247,0.593,351,95.8,6.03,7.76,28.4,14.1,4.34,NA
