"trait","label","n","n_snps_grm","transform","h2_g","se_h2_g","sigma_g2","sigma_e2","icc_family_lmer","var_family","var_resid_lmer"
"SD","SD (seed dormancy)",381,36681,"log",0.275468615454227,0.082643994267877,0.148519733923811,0.390633278766631,0,0,0.448655974524267
"GR","GR (growth rate)",374,36681,"identity",0.0882209620456958,0.0590204019861834,0.00162308999052194,0.0167749182932829,0.307640833108424,0.00790576701881143,0.017792274879369
"tough","tough (ave_tough)",344,36681,"identity",0.0574217524273522,0.0496992436882276,22.3248017297448,366.461690949825,0.133939199196082,58.7300000011289,379.752537998448
"Nreabs","Nreabs",343,36681,"identity",0.1825427083826,0.0829059938484947,19.7647452826722,88.5098905973122,0.395811177040957,63.6853710330188,97.2129934576556
"Chlreabs","Chlreabs",376,36681,"identity",0.251276877364544,0.0866300308493569,69.3824115746539,206.736952460567,0,0,232.842980730688
